violDate,tag,location,city,state
2014-01-25 00:13:00,8AZ9328,900 ROBINSON ST,Baltimore,MD
2014-12-16 21:23:00,18533HP,600 PRESIDENT ST,Baltimore,MD
2014-11-10 13:26:00,9BG9590,600 CAROLINE ST,Baltimore,MD
2014-11-21 20:55:00,4FBF76,100 LANVALE ST,Baltimore,MD
2014-02-10 16:00:00,5AB0298,100 CHARLES ST,Baltimore,MD
2014-10-16 13:34:00,BLUMPKN,400 EATON ST,Baltimore,MD
2014-06-13 10:19:00,8AT6415,200 MONUMENT ST,Baltimore,MD
2014-10-13 09:21:00,152ABB,U/B READ ST,Baltimore,MD
2014-04-15 08:58:00,WRV6538,2000 LOMBARD ST,Baltimore,MD
2014-03-14 12:51:00,7BRR09,100 CHARLES ST,Baltimore,MD
2014-09-05 09:15:00,6BYC18,U/B POPPLETON ST,Baltimore,MD
2014-04-16 15:07:00,1AV3207,200 LEXINGTON ST,Baltimore,MD
2014-02-15 13:19:00,6BA8277,1600 THAMES ST,Baltimore,MD
2014-04-21 12:36:00,074641TT,200 29TH ST,Baltimore,MD
2014-05-20 03:28:00,28M564,3700 CLAREMONT ST,Baltimore,MD
2014-02-25 16:10:00,15X573,1000 FLEET ST,Baltimore,MD
2014-09-14 19:54:00,1BL0311,1300 CLEVELAND ST,Baltimore,MD
2014-04-25 13:11:00,02080M5,2500 ST PAUL ST,Baltimore,MD
2014-10-09 21:34:00,86192CE,500 EXETER ST,Baltimore,MD
2014-08-18 09:43:00,6BL1812,800 LINDEN AVE,Baltimore,MD
2014-02-05 20:32:00,BCK4866,1000 CHARLES ST,Baltimore,MD
2014-02-12 13:40:00,1AN4565,2100 WARWICK RD,Baltimore,MD
2014-02-18 05:06:00,T67CUW,1700 CHARLES ST,Baltimore,MD
2014-06-11 18:20:00,6BF8747,1100 CHARLES ST,Baltimore,MD
2014-06-27 11:44:00,6AZ3927,1 CHARLES ST,Baltimore,MD
2014-03-28 08:47:00,LXN657,600 LONGWOOD ST,Baltimore,MD
2014-01-14 17:31:00,2AW3436,3100 ST PAUL ST,Baltimore,MD
2014-10-06 11:22:00,9BD4060,200 CALHOUN ST,Baltimore,MD
2014-04-01 04:10:00,U94023 T,100 CAREY ST,Baltimore,MD
2014-10-27 18:11:00,1BK4259,400 CASTLE ST,Baltimore,MD
2014-09-11 15:16:00,4AR5299,400 SARATOGA ST,Baltimore,MD
2014-03-04 11:23:00,4CDV48,3200 ST PAUL ST,Baltimore,MD
2014-01-28 01:15:00,9AM5568,U/B FORT AVE,Baltimore,MD
2014-12-13 11:52:00,5BV1332,1700 MONUMENT ST,Baltimore,MD
2014-05-08 22:19:00,XFM5094,600 WILSON ST,Baltimore,MD
2014-06-09 17:17:00,6BK2376,600 BALTIMORE ST,Baltimore,MD
2014-09-04 11:41:00,56S345,4300 BERGER AVE,Baltimore,MD
2014-02-24 17:35:00,1BXT55,U/B EUTAW ST,Baltimore,MD
2014-09-22 13:39:00,4BF6088,700 BROADWAY,Baltimore,MD
2014-03-07 12:59:00,6DRH33,700 CHESTER ST,Baltimore,MD
2014-06-05 16:19:00,6BA7198,3400 GREENMOUNT AVE,Baltimore,MD
2014-12-17 12:39:00,1AS9467,1500 GUILFORD AVE,Baltimore,MD
2014-07-23 13:25:00,8BK5920,1600 ST PAUL ST,Baltimore,MD
2014-12-19 07:59:00,5BR0531,800 FREMONT AVE,Baltimore,MD
2014-08-28 12:54:00,033BW,1600 THAMES ST,Baltimore,MD
2014-03-14 07:47:00,6BF8255,4600 LOCH RAVEN BLVD,Baltimore,MD
2014-08-27 09:14:00,37372CF,U/B SOUTH ST,Baltimore,MD
2014-05-06 09:27:00,9FDH82,1000 CHARLES ST,Baltimore,MD
2014-11-28 08:28:00,DSV3917,300 CHARLES ST,Baltimore,MD
2014-04-23 20:43:00,5BK0704,U/B CROSS ST,Baltimore,MD
2014-11-25 19:35:00,4ETM82,1100 CHARLES ST,Baltimore,MD
2014-05-15 17:16:00,5BK0860,3200 LOT WAVERLY,Baltimore,MD
2014-08-01 09:35:00,M606340,2500 OAKLEY AVE,Baltimore,MD
2014-07-02 09:58:00,4BG2147,300 UNIVERSITY PKWY,Baltimore,MD
2014-10-16 20:57:00,71X269,400 FORT AVE,Baltimore,MD
2014-11-01 10:04:00,3BN5515,200 KEY HWY,Baltimore,MD
2014-10-03 08:51:00,7BG0351,2800 HUDSON ST,Baltimore,MD
2014-10-30 10:44:00,3BB9635,1500 MARYLAND AVE,Baltimore,MD
2014-09-02 17:12:00,97503CC,600 PRESIDENT ST,Baltimore,MD
2014-09-17 08:28:00,6BA8922,3200 NOBLE ST,Baltimore,MD
2014-02-21 12:47:00,6JML290,100 30TH ST,Baltimore,MD
2014-07-30 09:01:00,1BC2370,400 REDWOOD ST,Baltimore,MD
2014-01-27 14:22:00,2BG8444,1000 WILLIAM ST,Baltimore,MD
2014-06-16 17:15:00,3AV2516,1500 MARYLAND AVE,Baltimore,MD
2014-03-29 17:28:00,9AT0217,1000 LIGHT ST,Baltimore,MD
2014-04-14 12:56:00,BVND88,1000 EUTAW ST,Baltimore,MD
2014-05-07 20:12:00,1BL5656,100 CHARLES ST,Baltimore,MD
2014-03-25 14:17:00,FSC3903,300 CHARLES ST,Baltimore,MD
2014-08-19 13:25:00,1MD0045,600 ANN ST,Baltimore,MD
2014-07-29 12:27:00,2BC1168,U/B GUILFORD AVE,Baltimore,MD
2014-09-17 15:02:00,6AD2171,U/B PACA ST,Baltimore,MD
2014-02-24 09:06:00,95V124,400 LOT JFA,Baltimore,MD
2014-02-20 03:17:00,17TLR870,3900 SOUTHWESTERN BLVD,Baltimore,MD
2014-11-05 20:55:00,6BR4817,1400 N CHARLES ST,Baltimore,MD
2014-07-08 09:36:00,80R459,1400 CAREY ST,Baltimore,MD
2014-03-13 08:14:00,A255283,3000 CHELSEA TERR,Baltimore,MD
2014-12-02 14:13:00,899M512,1900 JEFFERSON ST,Baltimore,MD
2014-09-17 15:01:00,9BG7129,U/B PACA ST,Baltimore,MD
2014-02-26 12:51:00,7BE1396,1000 MARTIN LUTHER KING JR BLV,Baltimore,MD
2014-03-05 00:31:00,1BE4444,400 CROSS ST,Baltimore,MD
2014-11-14 20:15:00,53376B,1600 CHARLES ST,Baltimore,MD
2014-10-24 10:24:00,226826TT,300 MADISON ST,Baltimore,MD
2014-10-29 18:46:00,HWV6078,1900 CHARLES ST,Baltimore,MD
2014-07-17 08:24:00,1AZ6200,1700 HOMESTEAD ST,Baltimore,MD
2014-05-05 23:54:00,4BH7291,400 PATTERSON PARK AVE,Baltimore,MD
2014-10-03 16:41:00,GNU8782,2800 ST PAUL ST,Baltimore,MD
2014-09-26 20:37:00,1BK9014,900 CHARLES ST,Baltimore,MD
2014-10-01 13:02:00,MVJ234,2900 BARCLAY ST,Baltimore,MD
2014-12-30 13:41:00,EF9427,U/B 30TH ST,Baltimore,MD
2014-02-15 03:47:00,3AJ9046,200 ROBINSON ST,Baltimore,MD
2014-02-15 11:24:00,09104M5,300 WEST ST,Baltimore,MD
